SUBJECT_ID,SUBJECT,OBJECT_ID,OBJECT,SUGGESTION,DECISION
1146279101,http://sw.opencyc.org/concept/Mx4rSwt9UpUcEdaAAAACs4kcHw,1146364934,http://sw.opencyc.org/concept/Mx8NhB4rvuAoI5wpEbGdrcN5Y29ycB4rvwE_DpwpEbGdrcN5Y29ycB4rwSiusZwpEbGdrcN5Y29ycB4r14OB5JUcEdaAAAACs4kcHw,remove,a
1146205650,http://sw.opencyc.org/2008/06/10/concept/Mx4rZZ0Dhm2nEdqAAAACs2IKaQ,1146247682,http://sw.opencyc.org/2008/06/10/concept/Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvVjpUZwpEbGdrcN5Y29ycB4rvYjIS5wpEbGdrcN5Y29ycA,remove,a
119154264,http://dbpedia.org/resource/Economic_disasters,120196197,http://dbpedia.org/resource/Financial_crises,remove,a
72222535,http://creationwiki.org/Special:URIResolver/Category-3ABible,72222641,http://creationwiki.org/Special:URIResolver/Category-3AIsrael,remove,a
68318241,http://colab.cim3.net/file/work/SICoP/ontac/COSMO/COSMO.owl#Gravestone,68319699,http://colab.cim3.net/file/work/SICoP/ontac/COSMO/COSMO.owl#Tombstone,remove,a
72222525,http://creationwiki.org/Special:URIResolver/Category-3AArchaeology,72222681,http://creationwiki.org/Special:URIResolver/Category-3APaleoanthropology,remove,a
118160466,http://dbpedia.org/resource/Computer_science_lists,118160212,http://dbpedia.org/resource/Computer_lists,remove,a
1146284438,http://sw.opencyc.org/concept/Mx4rguFScwAKEdyHxgDggVfs8g,1146329396,http://sw.opencyc.org/concept/Mx4rwA5A-5wpEbGdrcN5Y29ycA,remove,a
196338412,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Standard,196338176,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Health%20sector,remove,a
140375303,http://dickinson-i-4/daml/tests/test-cases.daml#B,140375301,http://dickinson-i-4/daml/tests/test-cases.daml#A,remove,a
196338418,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Supplier,196338419,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Support,remove,a
1107416048,http://protege.stanford.edu/rdfPrecip_Maps,1107416181,http://protege.stanford.edu/rdf__:A60,remove,a
475319,http://a.com/ontology#UTF,475328,http://a.com/ontology#Unicode_Transformation_Format,remove,a
1191752435,http://www.aifb.uni-karlsruhe.de/WBS/rvo/sample2.rdf#Human,1191752436,http://www.aifb.uni-karlsruhe.de/WBS/rvo/sample2.rdf#Person,remove,a
196338192,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Importance,196338034,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Commuting,remove,a
121867111,http://dbpedia.org/resource/Incapacitating_agents,126839522,"http://dbpedia.org/resource/Psychedelics,_dissociatives_and_deliriants",remove,a
1111378604,http://purl.org/NET/cidoc-crm/core#E40_Legal_Body,1111378632,http://purl.org/NET/cidoc-crm/core#E74_Group,remove,a
196338281,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Paper%20records,196337946,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Access%20control,remove,a
196338189,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Iicr%20project40,196338049,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Consultant,remove,a
1146362665,http://sw.opencyc.org/concept/Mx8Ngx4rvo2DEpwpEbGdrcN5Y29ycB4rvhxFJZwpEbGdrcN5Y29ycA2DHiu9WNf2nCkRsZ2tw3ljb3JwCw-EP09CSg2DHiu9WID2nCkRsZ2tw3ljb3JwCw-FP1RBTksNgx4rvViA-ZwpEbGdrcN5Y29ycA2DHiu9WIEEnCkRsZ2tw3ljb3JwCw-FP1RBTkseK8EAfL6cKRGxna3DeWNvcnANgx4rvV0FMZwpEbGdrcN5Y29ycAsPhD9PQkoLD4U_VEFOSw,1146362669,http://sw.opencyc.org/concept/Mx8Ngx4rvo2DEpwpEbGdrcN5Y29ycB4rvhxFJZwpEbGdrcN5Y29ycA2DHiu9WNf2nCkRsZ2tw3ljb3JwCw-GP09CSi0zDYMeK71YgPacKRGxna3DeWNvcnALD4c_VEFOSy0zDYMeK71YgPmcKRGxna3DeWNvcnANgx4rvViBBJwpEbGdrcN5Y29ycAsPhz9UQU5LLTMeK8EAfL6cKRGxna3DeWNvcnANgx4rvV0FMZwpEbGdrcN5Y29ycAsPhj9PQkotMwsPhz9UQU5LLTM,remove,a
196338406,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#South%20africa,196338197,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#India,remove,a
122352386,http://dbpedia.org/resource/Jewish_society,122351821,http://dbpedia.org/resource/Jewish_education,remove,a
1193056652,http://www.co-ode.org/sct.owl#Prescription_status,1193056593,http://www.co-ode.org/sct.owl#Attribute,remove,a
1146355639,http://sw.opencyc.org/concept/Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHiu9WOdnnCkRsZ2tw3ljb3JwHius8kOkJN9B15Lwio_VrSUH,1146288239,http://sw.opencyc.org/concept/Mx4rrPJDpCTfQdeS8IqP1a0lBw,remove,a
1146244355,http://sw.opencyc.org/2008/06/10/concept/Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHiu9WICnnCkRsZ2tw3ljb3JwHiu9WOwSnCkRsZ2tw3ljb3Jw,1146204410,http://sw.opencyc.org/2008/06/10/concept/Mx4rRh__wMhMQdeRr7ffGIZWMw,remove,a
1212293568,http://www.w3.org/2001/XMLSchema#ENTITY,1212293570,http://www.w3.org/2001/XMLSchema#IDREF,remove,a
72222556,http://creationwiki.org/Special:URIResolver/Category-3ACategories,72222674,http://creationwiki.org/Special:URIResolver/Category-3AOcean,remove,a
196338317,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Primis,196337975,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Audit,remove,a
1146312934,http://sw.opencyc.org/concept/Mx4rvanFq5wpEbGdrcN5Y29ycA,1146337159,http://sw.opencyc.org/concept/Mx4rwLuVyJwpEbGdrcN5Y29ycA,remove,a
196338116,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Electronic%20records,196337978,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Audit%20trail,remove,a
1146220508,http://sw.opencyc.org/2008/06/10/concept/Mx4rvWOPwZwpEbGdrcN5Y29ycA,1146231233,http://sw.opencyc.org/2008/06/10/concept/Mx4rwApx65wpEbGdrcN5Y29ycA,remove,a
1146235103,http://sw.opencyc.org/2008/06/10/concept/Mx4rwLuVyJwpEbGdrcN5Y29ycA,1146222502,http://sw.opencyc.org/2008/06/10/concept/Mx4rvanFq5wpEbGdrcN5Y29ycA,remove,a
1146276083,http://sw.opencyc.org/concept/Mx4rKcgmehy6EduAAADggVarsA,1146362652,http://sw.opencyc.org/concept/Mx8Ngx4rvo2DEpwpEbGdrcN5Y29ycB4rvVjKJ5wpEbGdrcN5Y29ycA2DHiu9WNf2nCkRsZ2tw3ljb3JwCw-IP0VDT1RPTkUNgx4rvViA9pwpEbGdrcN5Y29ycAsPiz9FQ09TWVNURU0xDYMeK71YgPacKRGxna3DeWNvcnALD4s_RUNPU1lTVEVNMg2FHiu9WID5nCkRsZ2tw3ljb3JwDYMeK71YgQScKRGxna3DeWNvcnALD4s_RUNPU1lTVEVNMR4rv_UD6pwpEbGdrcN5Y29ycA2DHiu9WIEEnCkRsZ2tw3ljb3JwCw-LP0VDT1NZU1RFTTIeK7_1A-qcKRGxna3DeWNvcnANgx4rvWPzQ5wpEbGdrcN5Y29ycAsPiz9FQ09TWVNURU0xCw-LP0VDT1NZU1RFTTINhB4rvmTx3pwpEbGdrcN5Y29ycAsPiD9FQ09UT05FCw-LP0VDT1NZU1RFTTELD4s_RUNPU1lTVEVNMg,remove,a
1146362682,http://sw.opencyc.org/concept/Mx8Ngx4rvo2DEpwpEbGdrcN5Y29ycB4rwKZol5wpEbGdrcN5Y29ycA2DHiu9WNf2nCkRsZ2tw3ljb3JwCw-GP09CSi0xDYMeK71YgROcKRGxna3DeWNvcnALD4Y_T0JKLTENgx4rwAMkiJwpEbGdrcN5Y29ycB4rvVjqk5wpEbGdrcN5Y29ycB4rwCxk9JwpEbGdrcN5Y29ycA,1146362683,http://sw.opencyc.org/concept/Mx8Ngx4rvo2DEpwpEbGdrcN5Y29ycB4rwKZol5wpEbGdrcN5Y29ycA2DHiu9WNf2nCkRsZ2tw3ljb3JwCw-GP09CSi0zDYMeK71YgROcKRGxna3DeWNvcnALD4Y_T0JKLTMNgx4rwAMkiJwpEbGdrcN5Y29ycB4rvVjqk5wpEbGdrcN5Y29ycB4rwCxk9JwpEbGdrcN5Y29ycA,remove,a
196338093,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Distracting,196338211,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Internet,remove,a
72222556,http://creationwiki.org/Special:URIResolver/Category-3ACategories,72222613,http://creationwiki.org/Special:URIResolver/Category-3AFlood_geology,remove,a
127531270,http://dbpedia.org/resource/Runway_incursions,114381315,http://dbpedia.org/resource/Airliner_collisions_on_ground,remove,a
196338014,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Clinician,196337975,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Audit,remove,a
1146308308,http://sw.opencyc.org/concept/Mx4rvVprG5wpEbGdrcN5Y29ycA,1146281202,http://sw.opencyc.org/concept/Mx4rYPM8uFe8EdaQLQACs0uFOQ,remove,a
1146253406,http://sw.opencyc.org/2008/06/10/concept/en/CycLPropositionalSentence,1146253420,http://sw.opencyc.org/2008/06/10/concept/en/CycL_closed_sentence_that_is_also_cyc_l_sentence_askable,remove,a
196338014,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Clinician,196338019,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Codes,remove,a
1146250003,http://sw.opencyc.org/2008/06/10/concept/en/Author,1146268304,http://sw.opencyc.org/2008/06/10/concept/en/Writer,remove,a
114899075,http://dbpedia.org/resource/Arabic_books,114899201,http://dbpedia.org/resource/Arabic_literature,remove,a
72222620,http://creationwiki.org/Special:URIResolver/Category-3AGeology,72222613,http://creationwiki.org/Special:URIResolver/Category-3AFlood_geology,remove,a
125115731,http://dbpedia.org/resource/Mixed_drinks,119003311,http://dbpedia.org/resource/Drinking_establishments,remove,a
1146355671,http://sw.opencyc.org/concept/Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHiu_W_2ynCkRsZ2tw3ljb3JwHw2DHiu-jYMSnCkRsZ2tw3ljb3JwHiu9WL9VnCkRsZ2tw3ljb3JwDYMeK71Y1_acKRGxna3DeWNvcnALD4Y_T0JKLTMNgx4rQ9K-8OqQQdaLY8oyfSCc2QsPhj9PQkotMx4rkARDYPZOQdacr9H2mwCyyA,1146295430,http://sw.opencyc.org/concept/Mx4rv8SmrAlZQdiVfJK3kwhTZQ,remove,a
119119615,http://dbpedia.org/resource/Early_scientific_cosmologies,115059783,http://dbpedia.org/resource/Astrology,remove,a
118673308,http://dbpedia.org/resource/Defunct_Malaysian_football_clubs,124475528,http://dbpedia.org/resource/Malaysian_football_clubs,remove,a
196338288,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Patient,196338400,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Services%20records%20relating,remove,a
196338307,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Practices,196338373,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Retention,remove,a
125049014,http://dbpedia.org/resource/Mind_control,115843267,http://dbpedia.org/resource/Brainwashing_techniques,remove,a
196338326,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Providers,196338324,http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Protecting,remove,a
