SUBJECT_ID,SUBJECT,OBJECT_ID,OBJECT,SUGGESTION,DECISION
221835,gnowsis://paul@example.com/resources/pimo/isManagedBy,221835,gnowsis://paul@example.com/resources/pimo/isManagedBy,remove,o
221836,gnowsis://paul@example.com/resources/pimo/isSupervisedBy,221836,gnowsis://paul@example.com/resources/pimo/isSupervisedBy,remove,o
221837,gnowsis://paul@example.com/resources/pimo/manager,221837,gnowsis://paul@example.com/resources/pimo/manager,remove,o
221838,gnowsis://paul@example.com/resources/pimo/participant,221838,gnowsis://paul@example.com/resources/pimo/participant,remove,o
221839,gnowsis://paul@example.com/resources/pimo/participatesAt,221839,gnowsis://paul@example.com/resources/pimo/participatesAt,remove,o
221865,gnowsis://paul@example.com/resources/pimo/supervisor,221865,gnowsis://paul@example.com/resources/pimo/supervisor,remove,o
3704238,http://aims.fao.org/aos/geopolitical.owl#GDP,3704238,http://aims.fao.org/aos/geopolitical.owl#GDP,remove,o
3704472,http://aims.fao.org/aos/geopolitical.owl#hasStatistics,3704472,http://aims.fao.org/aos/geopolitical.owl#hasStatistics,remove,o
1212307443,http://www.w3.org/2002/07/owl#topDataProperty,1212307443,http://www.w3.org/2002/07/owl#topDataProperty,remove,o
3704239,http://aims.fao.org/aos/geopolitical.owl#GDPNotes,3704239,http://aims.fao.org/aos/geopolitical.owl#GDPNotes,remove,o
3704240,http://aims.fao.org/aos/geopolitical.owl#GDPTotalInCurrentPrices,3704240,http://aims.fao.org/aos/geopolitical.owl#GDPTotalInCurrentPrices,remove,o
3704241,http://aims.fao.org/aos/geopolitical.owl#GDPUnit,3704241,http://aims.fao.org/aos/geopolitical.owl#GDPUnit,remove,o
3704242,http://aims.fao.org/aos/geopolitical.owl#GDPYear,3704242,http://aims.fao.org/aos/geopolitical.owl#GDPYear,remove,o
3704257,http://aims.fao.org/aos/geopolitical.owl#HDI,3704257,http://aims.fao.org/aos/geopolitical.owl#HDI,remove,o
3704258,http://aims.fao.org/aos/geopolitical.owl#HDINotes,3704258,http://aims.fao.org/aos/geopolitical.owl#HDINotes,remove,o
3704259,http://aims.fao.org/aos/geopolitical.owl#HDITotal,3704259,http://aims.fao.org/aos/geopolitical.owl#HDITotal,remove,o
3704260,http://aims.fao.org/aos/geopolitical.owl#HDIUnit,3704260,http://aims.fao.org/aos/geopolitical.owl#HDIUnit,remove,o
3704261,http://aims.fao.org/aos/geopolitical.owl#HDIYear,3704261,http://aims.fao.org/aos/geopolitical.owl#HDIYear,remove,o
3704429,http://aims.fao.org/aos/geopolitical.owl#agriculturalArea,3704429,http://aims.fao.org/aos/geopolitical.owl#agriculturalArea,remove,o
3704430,http://aims.fao.org/aos/geopolitical.owl#agriculturalAreaNotes,3704430,http://aims.fao.org/aos/geopolitical.owl#agriculturalAreaNotes,remove,o
3704431,http://aims.fao.org/aos/geopolitical.owl#agriculturalAreaTotal,3704431,http://aims.fao.org/aos/geopolitical.owl#agriculturalAreaTotal,remove,o
3704432,http://aims.fao.org/aos/geopolitical.owl#agriculturalAreaUnit,3704432,http://aims.fao.org/aos/geopolitical.owl#agriculturalAreaUnit,remove,o
3704433,http://aims.fao.org/aos/geopolitical.owl#agriculturalAreaYear,3704433,http://aims.fao.org/aos/geopolitical.owl#agriculturalAreaYear,remove,o
3704437,http://aims.fao.org/aos/geopolitical.owl#codeAGROVOC,3704437,http://aims.fao.org/aos/geopolitical.owl#codeAGROVOC,remove,o
3704460,http://aims.fao.org/aos/geopolitical.owl#hasCode,3704460,http://aims.fao.org/aos/geopolitical.owl#hasCode,remove,o
3704438,http://aims.fao.org/aos/geopolitical.owl#codeCurrency,3704438,http://aims.fao.org/aos/geopolitical.owl#codeCurrency,remove,o
3704462,http://aims.fao.org/aos/geopolitical.owl#hasCurrency,3704462,http://aims.fao.org/aos/geopolitical.owl#hasCurrency,remove,o
3704439,http://aims.fao.org/aos/geopolitical.owl#codeDBPediaID,3704439,http://aims.fao.org/aos/geopolitical.owl#codeDBPediaID,remove,o
3704440,http://aims.fao.org/aos/geopolitical.owl#codeFAOSTAT,3704440,http://aims.fao.org/aos/geopolitical.owl#codeFAOSTAT,remove,o
3704441,http://aims.fao.org/aos/geopolitical.owl#codeFAOTERM,3704441,http://aims.fao.org/aos/geopolitical.owl#codeFAOTERM,remove,o
3704442,http://aims.fao.org/aos/geopolitical.owl#codeGAUL,3704442,http://aims.fao.org/aos/geopolitical.owl#codeGAUL,remove,o
3704443,http://aims.fao.org/aos/geopolitical.owl#codeISO2,3704443,http://aims.fao.org/aos/geopolitical.owl#codeISO2,remove,o
3704444,http://aims.fao.org/aos/geopolitical.owl#codeISO3,3704444,http://aims.fao.org/aos/geopolitical.owl#codeISO3,remove,o
3704445,http://aims.fao.org/aos/geopolitical.owl#codeUN,3704445,http://aims.fao.org/aos/geopolitical.owl#codeUN,remove,o
3704446,http://aims.fao.org/aos/geopolitical.owl#codeUNDP,3704446,http://aims.fao.org/aos/geopolitical.owl#codeUNDP,remove,o
3704447,http://aims.fao.org/aos/geopolitical.owl#countryArea,3704447,http://aims.fao.org/aos/geopolitical.owl#countryArea,remove,o
3704448,http://aims.fao.org/aos/geopolitical.owl#countryAreaNotes,3704448,http://aims.fao.org/aos/geopolitical.owl#countryAreaNotes,remove,o
3704449,http://aims.fao.org/aos/geopolitical.owl#countryAreaTotal,3704449,http://aims.fao.org/aos/geopolitical.owl#countryAreaTotal,remove,o
3704450,http://aims.fao.org/aos/geopolitical.owl#countryAreaUnit,3704450,http://aims.fao.org/aos/geopolitical.owl#countryAreaUnit,remove,o
